Date,Time,Store Name,Product Brand,Product Name,Product UPC,Product Price($),Product Image URL,Product URL
2023-06-07,10:12:05.530934,All Star Health,Megafood,Megafood Adrenal Strength 90 tabs,051494200230,59.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/megafood-adrenal_strength.htm
2023-06-07,10:12:04.526960,All Star Health,SAN,BodyStrong Alpha Lipoic Acid (200mg) 360 caps,815503011985,25.00,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/bodystrong-alpha_lipoic_acid_(200mg).htm
2023-06-07,10:12:05.564902,All Star Health,Nature's Way,Nature's Way Probiotic Pearls - Acidophilus (Digestive Health) 90 sgels,763948042999,25.49,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-probiotic_pearls_acidophilus_digestive_health.htm
2023-06-07,10:12:05.527933,All Star Health,Gaia Herbs,Gaia Herbs Adrenal Health - Jump Start 60 vcaps,751063149402,31.87,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/gaia_herbs-adrenal_health_jump_start.htm
2023-06-07,10:12:05.534918,All Star Health,Nature's Way,Nature's Way Primadophilus for Kids (chewable) Cherry 30 tabs,033674142431,8.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-primadophilus_for_kids_chewable.htm
2023-06-07,10:12:04.526960,All Star Health,SAN,Allmax Nutrition RALA 60 vcaps,665553202655,12.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/all_max_nutrition-rala.htm
2023-06-07,10:12:01.769932,All Star Health,Now,Gaia Herbs Reflux Relief 45 tabs,751063146838,28.79,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/gaia_herbs-reflux_relief.htm
2023-06-07,10:12:05.522945,All Star Health,Now,Now Nutra Flora FOS 4 oz,733739029423,9.29,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-nutra_flora_fos.htm
2023-06-07,10:12:05.507951,All Star Health,Nature's Way,Nature's Way Fortify Optima Age 50+ Probiotic Advanced Care (90 Billion) 30 vcaps,033674157855,32.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-primadophilus_optima_max_bifido.htm
2023-06-07,10:12:05.518922,All Star Health,Now,Now Acidophilus Three Billion  BEST BY 7/23 180 tabs,423240655913,3.21,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-acidophilus_3_billion.htm
2023-06-07,10:12:05.505956,All Star Health,Nature's Way,Nature's Way Fortify Optima Daily Care (60 Billion) 30 caps,033674157831,26.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-primadophilus_optima_high_potency.htm
2023-06-07,10:12:05.520932,All Star Health,Flora,Flora Advanced Adult's Probiotic 60 caps,061998619704,25.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/flora-udos_choice_advanced_adults_probiotic.htm
2023-06-07,10:12:05.503962,All Star Health,Jarrow,Jarrow Fem-Dophilus (1 Billion) 60 vcaps,790011030423,22.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/jarrow-fem_dophilus_1_billion.htm
2023-06-07,10:12:05.492983,All Star Health,CTD,CTD Adrenal Reset 60 tabs,094922071569,17.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/cdt-adrenal_reset.htm
2023-06-07,10:12:05.496972,All Star Health,Nature's Way,Nature's Way Adrenal Stress End 60 caps,763948040353,17.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-adrenal_stress_end.htm
2023-06-07,10:12:05.500975,All Star Health,Ridgecrest Herbals,Ridgecrest Herbals Adrenal Fatigue Fighter 60 vcaps,355724003104,21.00,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/ridgecrest_herbals-adrenal_fatigue_fighter.htm
2023-06-07,10:12:05.486484,All Star Health,Flora,Flora Adult's Probiotic 120 caps,061998619629,28.00,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/flora-udos_choice_adults_probiotic.htm
2023-06-07,10:12:05.498964,All Star Health,Himalaya,Himalaya StressCare 240 vcaps,605069003117,32.54,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/himalaya-stresscare.htm
2023-06-07,10:12:05.487480,All Star Health,Nature's Way,Nature's Way Primadophilus Bifidus - 5 Billion 180 vcaps,033674156513,30.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-primadophilus_bifidus_5_billion.htm
2023-06-07,10:12:05.465237,All Star Health,Health Plus,Health Plus Adrenal Support 90 caps,083502550037,13.50,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/health_plus-adrenal_support.htm
2023-06-07,10:12:05.463267,All Star Health,Eclectic Institute,Eclectic Institute Adrenal Support 45 caps,023363324194,22.25,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/eclectic_institute-adrenal_support.htm
2023-06-07,10:12:05.457259,All Star Health,Gaia Herbs,Gaia Herbs Adrenal Health - Nightly Restore 120 lcaps,751063149396,45.04,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/gaia_herbs-adrenal_health_nightly_restore.htm
2023-06-07,10:12:05.468228,All Star Health,Vitanica,Vitanica Adrenal Assist 90 vcaps,708118022944,25.40,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/vitanica-adrenal_assist.htm
2023-06-07,10:12:05.489476,All Star Health,Natural Factors,Natural Factors Acidophilus & Bifidus 180 caps,068958018065,26.56,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natural_factors-acidophilus__bifidus.htm
2023-06-07,10:12:05.480246,All Star Health,Nature's Bounty,Nature's Bounty Acidophilus Probiotic (100 Million CFU) 120 tabs,074312026102,7.49,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_bounty-acidophilus_probiotic.htm
2023-06-07,10:12:05.469226,All Star Health,Nature's Way,Nature's Way Fortify Optima Daily Probiotic + Prebiotics (100 Billion) 30 vcaps,033674157848,31.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-primadophilus_optima_max_potency.htm
2023-06-07,10:12:05.483491,All Star Health,Jarrow,Jarrow Jarro-Dophilus plus FOS 300 vcaps,790011030324,30.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/jarrow-jarrow-dophilus_plus_fos.htm
2023-06-07,10:12:05.440249,All Star Health,Solgar,Solgar Advanced Multi-Billion Dophilus 60 vcaps,033984000391,15.59,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/solgar-advanced_multi_billion_dophilus.htm
2023-06-07,10:12:05.437257,All Star Health,Flora,Flora Udo's Choice Super 8 Hi-Potency Probiotic 60 caps,061998619568,27.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/flora-udos_choice_super_8_probiotic.htm
2023-06-07,10:12:05.503962,All Star Health,Jarrow,Jarrow Fem-Dophilus (1 Billion) 30 vcaps,790011030416,11.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/jarrow-fem_dophilus_1_billion.htm
2023-06-07,10:12:05.407332,All Star Health,Jarrow,Jarrow Adrenal Optimizer 120 tabs,790011290322,16.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/jarrow-adrenal_optimizer.htm
2023-06-07,10:12:05.401434,All Star Health,Now,Now 8 Billion Acidophilus and Bifidus 120 caps,733739029324,13.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-8_billion_acidophilus_and_bifidus.htm
2023-06-07,10:12:05.404340,All Star Health,Nature's Way,Nature's Way ADRENergize 50 caps,763948040858,15.59,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-ardrenergize.htm
2023-06-07,10:12:05.422413,All Star Health,Nutrition Now,Nutrition Now PB 8 (14 Billion CFU) 120 caps,027917001128,11.89,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/nutrition_now-pb_8.htm
2023-06-07,10:12:05.435263,All Star Health,Now,Now Gr8-Dophilus 120 vcaps,733739029102,15.49,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-gr8-dophilus.htm
2023-06-07,10:12:05.492983,All Star Health,CTD,Natural Sources Raw Adrenal 60 caps,726511245609,5.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natural_sources-raw_adrenal.htm
