Name,Street_Address,City,State,Zip-Code,Latitude,Longitude,Phone#,Loc Type,24/7 Self-Service
Circle K,3980 E McDowell Road,Phoenix,AZ,85008,33.466252,-111.996171,,Propane Tank Exchange,False
Circle K,3151 E Broadway Rd,Phoenix,AZ,85040,33.406652,-112.013171,,Propane Tank Exchange,False
Walmart,3721 E Thomas Rd,Phoenix,AZ,85018,33.478577,-112.000875,,Propane Tank Exchange,True
Circle K,2402 E Southern,Phoenix,AZ,85040,33.393662,-112.029589,,Propane Tank Exchange,False
Circle K,3402 N 35th Ave,Phoenix,AZ,85017,33.488028,-112.134848,,Propane Tank Exchange,False
Shell,3208 E Indian School,Phoenix,AZ,85001,33.495445,-112.012705,,Propane Tank Exchange,False
Circle K,630 E Missouri Ave,Phoenix,AZ,85012,33.517107,-112.065638,,Propane Tank Exchange,False
Circle K,301 N 43rd Ave,Phoenix,AZ,85009,33.452112,-112.150986,,Propane Tank Exchange,False
Circle K,4259 W McDowell,Phoenix,AZ,85009,33.465609,-112.151358,,Propane Tank Exchange,False
Circle K,4403 E Van Buren,Phoenix,AZ,85008,33.450788,-111.986743,,Propane Tank Exchange,False
Circle K,4402 E Washington,Phoenix,AZ,85034,33.448698,-111.986679,,Propane Tank Exchange,False
Circle K,2650 W Camelback Rd,Phoenix,AZ,85017,33.509882,-112.116356,,Propane Tank Exchange,False
Circle K,3554 E Indian School Rd,Phoenix,AZ,85018,33.495478,-112.004594,,Propane Tank Exchange,False
U-Haul,3601 W Indian School,Phoenix,AZ,85019,33.494512,-112.137549,,Propane Cylinder Refill,False
Circle K,7440 S 7th Ave,Phoenix,AZ,85041,33.378305,-112.082429,,Propane Tank Exchange,False
Circle K,7601 S Central Ave,Phoenix,AZ,85042,33.377329,-112.072829,,Propane Tank Exchange,False
Caspian Chevron,5845 N 7th Ave,Phoenix,AZ,85013,33.523523,-112.082079,,Propane Cylinder Refill,False
Chevron,5845 N 7th Ave,Phoenix,AZ,85013,33.523523,-112.082079,,Propane Tank Exchange,False
