Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Previous Registration,MFR Year,EIS Date,Current Airframe Hours,Previous Country,Days On Market,Ask Price (M),Ask Price_MO,Sale Price,Sale Price_TBD,Sale Date,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband 
08/05/2025,180,Embraer Phenom 100, ,121,N130EC,2010,01-07-2010,"2,360",US,457,2.29,,2.1,,18/12/2024,JSSI,4, , , , , , , , , 
08/05/2025,158,Challenger 300, ,312,N993TB,2010,01-06-2011,"3,265",US,293,14.45,,13.4,,26/08/2024,MSP-G,9, , , , , , ,Yes, , 
08/05/2025,188,Challenger 350, ,798,XA-BUA,2019,01-07-2019,"1,135",MX,152,,Yes,19.0,,25/09/2024,MSP-G,9, , , , , , , , ,Yes
08/05/2025,153,Citation CJ3, ,188,N757PC,2007,01-11-2007,"2,950",US,59,,Yes,4.8,,24/04/2025,TAP Blue,6, , , , , , , , , 
08/05/2025,172,Citation CJ2, ,216,N788JS,2004,01-11-2004,"7,380",US,218,3.09,,2.9,,03/09/2024,TAP Blue,6, , , , , , , , , 
08/05/2025,119,Citation CJ3+, ,716,N200MS,2024,01-03-2024,220,US,147,11.5,,10.5,,21/08/2024,Textron TA,6, , , , , , , , , 
08/05/2025,160,Citation CJ4, ,326,N615WP,2020,01-05-2020,"1,470",US,162,9.2,,,Yes,29/05/2024,TAP Blue,8,Yes, , , , , , , , 
08/05/2025,194,Hawker 800XP, ,584,N864BF,2002,01-08-2002,"8,830",PR,488,,Yes,2.2,,30/12/2024,JSSI,8, , , , , , , , , 
08/05/2025,260,Gulfstream GIVSP, ,1423,N401JS,2000,01-04-2001,"10,580",US,405,,Yes,4.8,,05/12/2024,RRCC,16, , , , , ,Yes, , , 
08/05/2025,195,Gulfstream G650,Yes,6287,N651BA,2017,01-01-2018,"2,570",US,454,39.99,,33.0,,30/04/2025,RRCC,12, , ,Yes, , , , , , 
08/05/2025,194,Gulfstream G550, ,5178,N339JM,2007,01-05-2008,"4,125",US,83,,Yes,18.0,,30/12/2024,RRCC,12, , , , , , ,Yes, ,Yes
08/05/2025,229,Gulfstream G450, ,4204,N818KE,2010,01-12-2010,"5,055",PH,260,,Yes,12.95,,15/05/2024,RRCC,16, ,Yes, , ,Yes, , , , 
08/05/2025,108,Gulfstream G280, ,2177,N826SC,2019,01-09-2019,960,US,214,21.49,,20.5,,17/01/2025,MSP-G,10, , , , , , , ,Yes, 
