Building Name,Unit size,Unit #,Beds,Bath,Sq. Ft.,Available Date,12 month Price,Best Value Price and term
Lake & Wells,S2,3403,0,1,629,Available Now,"$2,045",
Lake & Wells,S2,3103,0,1,629,Available Now,"$2,165",
Lake & Wells,S2,3803,0,1,629,Available Now,"$2,185",
Lake & Wells,S2,4203,0,1,629,Available Now,"$2,275",
Lake & Wells,S2,4103,0,1,629,"August 23, 2024","$2,365",
Lake & Wells,S1,2509,0,1,584,Available Now,"$2,097",
Lake & Wells,S1,2609,0,1,584,Available Now,"$2,107",
Lake & Wells,S1,3109,0,1,584,Available Now,"$2,157",
Lake & Wells,C2,4009,0,1,631,"August 31, 2024","$2,222",
