Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Registration,MFR Year,EIS Date,Airframe Hours,Country,Time on Market (days),Ask Price (M),Ask Price_MO,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband
17/04/2025,218,Citation CJ2, ,128,N525CK,2002,01-12-2002,"4,290",US,736,2.97,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5825,OE-INK,2009,01-11-2010,"4,060",AT,687,,Yes,,11, , , , , , , , , 
17/04/2025,258,Challenger 601-3A, ,5113,N116HL,1992,01-01-1993,"9,100",US,344,1.49,,,9, , , , , , ,Yes, , 
17/04/2025,129,Challenger 350, ,698,OE-HIL,2017,01-10-2017,"2,200",RO,62,17.9,,MSP-G,9, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5361,N800LB,1997,01-05-1998,"9,885",US,197,,Yes,OnPoint,11, , , , , , ,Yes, , 
17/04/2025,218,Citation CJ2, ,140,N140DA,2003,01-01-2003,"4,650",US,178,2.95,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5842,N57MH,2010,01-07-2011,"5,870",US,128,10.75,,OnPoint,10, , , , , , ,Yes, , 
17/04/2025,258,Challenger 601-3A, ,5116,N436DM,1992,01-02-1993,"9,930",US,213,2.45,,JSSI,8, , , , , , , , , 
17/04/2025,129,Challenger 350, ,751,N108LT,2018,01-11-2018,"1,090",US,64,,Yes,MSP,9, , , , , , , ,Yes,Yes
17/04/2025,223,Challenger 604, ,5389,D-AUKE,1998,01-02-1999,"12,690",DE,168,4.4,,,11, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,151,OE-FSP,2003,01-04-2003,"6,065",AT,246,3.09,,Textron TA,7, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5843,LV-FWW,2010,01-12-2011,"2,035",AR,87,12.5,,OnPoint,9, , , , , , , , , 
17/04/2025,258,Challenger 601-3A, ,5119,N64JS,1992,01-10-1992,"10,190",US,344,,Yes,,11, , , , , , ,Yes, , 
17/04/2025,129,Challenger 350, ,777,N17KU,2018,01-12-2018,"2,760",US,30,,Yes,MSP-G,9, , , , , , , ,Yes, 
17/04/2025,223,Challenger 604, ,5394,N309WB,1998,01-02-1999,"8,040",US,136,6.9,,JSSI,9, , , , , , ,Yes, , 
17/04/2025,218,Citation CJ2, ,152,N851JB,2003,01-05-2003,"4,610",US,80,3.19,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5882,N207R,2011,01-06-2012,"3,310",US,1,,Yes,OnPoint,9, , , , , , , ,Yes, 
17/04/2025,258,Challenger 601-3A, ,5128,N868RB,1993,01-09-1993,"4,855",US,51,,Yes,OnPoint,11, , , , , , , , , 
17/04/2025,129,Challenger 350, ,882,LN-MDT,2021,01-06-2021,"1,385",NO,122,,Yes,MSP,8, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5427,N605JE,1999,01-09-1999,"12,990",US,954,5.5,,OnPoint,11, , , , , , , ,Yes, 
17/04/2025,218,Citation CJ2, ,156,VH-ZIY,2003,01-05-2003,"4,035",AU,240,3.3,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5905,N605VG,2012,01-12-2012,"3,890",US,94,13.25,,OnPoint,9, , , , , , , ,Yes, 
17/04/2025,258,Challenger 601-3A, ,5134,C-GORD,1993,01-10-1993,"8,165",CA,450,2.85,,OnPoint,9, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5430,D-AONE,1999,01-04-2000,"11,055",DE,85,5.0,,OnPoint,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,158,OE-FRH,2003,01-04-2003,"9,795",AT,125,2.95,,Textron PA,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5910,N1969M,2012,01-02-2013,"2,995",US,14,13.49,,OnPoint,9, , , , , , , ,Yes,Yes
