Event,Fight,Bet,BetOnline,BetOnline Move,Bovada,Bovada Move,Pinnacle,Pinnacle Move,Betway,Betway Move,MyBookie,MyBookie Move,BetUS,BetUS Move,SXBet,SXBet Move,Jazz,Jazz Move,Cloudbet,Cloudbet Move,Unibet,Unibet Move,DraftKings,DraftKings Move,FanDuel,FanDuel Move,BetAnySports,BetAnySports Move
UFC Fight Night 240: Allen vs. Curtis 2,"Cynthia Calvillo , Piera Rodriguez",Piera Rodriguez,-200,-1,-195,1,-194,-1,-225,0,-220,0,-200,-1,,,,,-189,-1,-215,0,,,-220,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Heili Alateng , Victor Hugo Silva",Heili Alateng,-107,-1,135,-1,100,-1,-105,-1,100,1,,,,,,,102,-1,102,0,100,-1,-102,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Heili Alateng , Victor Hugo Silva",Victor Hugo Silva,-113,1,-165,1,-115,1,-125,1,-130,-1,,,,,,,-113,1,-127,0,-120,1,-125,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Alexander Hernandez , Damon Jackson",Alexander Hernandez,-165,1,-165,0,-175,1,-188,0,-180,1,-165,1,,,,,-171,1,-175,0,-175,-1,-188,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Alexander Hernandez , Damon Jackson",Damon Jackson,145,-1,135,0,150,-1,140,0,140,-1,135,-1,,,,,152,-1,138,0,145,1,146,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Trevor Peek , Charlie Campbell",Trevor Peek,160,-1,155,0,162,-1,,,150,0,155,0,,,,,165,-1,150,0,160,-1,154,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Trevor Peek , Charlie Campbell",Charlie Campbell,-185,1,-185,0,-190,1,,,-200,0,-185,0,,,,,-185,1,-186,0,-192,1,-200,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Norma Dumont , Germaine de Randamie",Norma Dumont,-190,-1,-195,-1,-194,-1,-175,0,-200,1,-190,-1,,,,,-189,-1,-186,0,-205,0,-215,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Norma Dumont , Germaine de Randamie",Germaine de Randamie,165,1,157,-1,165,1,130,0,150,-1,160,1,,,,,167,1,150,0,170,0,164,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Brendan Allen , Chris Curtis",Brendan Allen,-225,-1,,,-226,1,-225,0,-220,1,-225,-1,,,,,-219,1,-205,0,-225,-1,-225,1,,
UFC Fight Night 240: Allen vs. Curtis 2,"Brendan Allen , Chris Curtis",Chris Curtis,190,1,,,190,-1,163,0,160,-1,185,1,,,,,193,-1,163,0,185,1,172,-1,,
