Name,SKU,Price,Sale Price,Weight (Kg),Brand,Warrenty,Size,Material,Available Quantity,Product URL
"Előszoba fogas polccal, akasztókkal, cipőtartóval és ülőkével, rusztikus barna 80x32x178cm",HSR45BX,"46,400 (Ft)","37,100 (Ft)",13,VASAGLE,1 év,80x32x178.5cm,"Forgácslap, Acél",3,https://www.deco24.hu/vasagle-eloszoba-fogas-polccal-akasztokkal-cipotartoval-es-ulokevel-rusztikus-barna-80x32x178cm
"Polcos állvány, 120kg polconkénti teherbírással, ezüst 200x100x50cm",GLR050E01,"27,200 (Ft)","21,800 (Ft)",15,SONGMICS,1 év,200x100x50cm,"Acélváz, MDF lemez",3,https://www.deco24.hu/songmics-polcos-allvany-120kg-polconkenti-teherbirassal-ezust-200x100x50cm
"Komód elhúzható ajtókkal és nyitott polcokkal, rusztikus barna 100x33x80cm",LSC092B01,"66,700 (Ft)","53,400 (Ft)",26,VASAGLE,1 év,100x33x80cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-komod-elhuzhato-ajtokkal-es-nyitott-polcokkal-rusztikus-barna-100x33x80cm
"Szabadon álló szekrény 4 fiókkal 1 ajtóval, szürke 55x30x81cm",LHC41GY,"39,700 (Ft)","31,800 (Ft)",13,VASAGLE,,55x30x81cm,MDF (Közepes Sűrűségű Rostlemez),2,https://www.deco24.hu/vasagle-szabadon-allo-szekreny-4-fiokkal-1-ajtoval-szurke-55x30x81cm
"Macska alomszekrény, alomtálca tartó, rusztikus barna, fekete 80x53x50cm",PCL002X02,"32,300 (Ft)","25,800 (Ft)",16,FEANDREA,1 év,80x53x50cm,"Forgácslap, MDF (Közepes Sűrűségű Rostlemez)",2,https://www.deco24.hu/feandrea-macska-alomszekreny-alomtalca-tarto-rusztikus-barna-fekete-80x53x50cm
"Konyhai bárasztal, rusztikus barna 60x60x90cm",LBT25X,"25,100 (Ft)","20,100 (Ft)",9,VASAGLE,1 év,60x60x90cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-konyhai-barasztal-rusztikus-barna-60x60x90cm
"2 db cipőtartó polc szett, 2x5 szint, egymásra szerelhető",LSA055B02,"12,800 (Ft)","10,200 (Ft)",3,SONGMICS,,45x30x174cm,,1,https://www.deco24.hu/2-db-cipotarto-polc-szett-2x5-szint-egymasra-szere
"Fali ruhafogas 8 levehető akasztóval és polccal, fekete, rusztikus barna",LCR103B01,"10,700 (Ft)","8,690 (Ft)",2,VASAGLE,,40x24x24cm,"Forgácslap, Acél",2,https://www.deco24.hu/Fali-ruhafogas-8-leveheto-akasztoval-es-polccal-fe
"Ékszerállvány, fehér 20x18x36cm",JJS03NW,"9,790 (Ft)","7,890 (Ft)",1,SONGMICS,,20.5x18x36cm,Acél,5,https://www.deco24.hu/songmics-ekszerallvany-feher-20x18x36cm
"Könyvespolc, állópolc, fehér 50x25x141cm",LBC11WTV1,"23,900 (Ft)","19,100 (Ft)",13,VASAGLE,1 év,50x25x141.5cm,Forgácslap,2,https://www.deco24.hu/vasagle-konyvespolc-allopolc-feher-50x25x141cm
"2 darabos dohányzóasztal szett, fekete 50x50x40cm",LET040B22,"30,800 (Ft)","24,600 (Ft)",7,VASAGLE,1 év,50x50x40cm,,1,https://www.deco24.hu/2-darabos-dohanyzoasztal-szett-fekete-50x50x40cm
"Cipőtároló pad, párnázott ülőfelülettel, fehér 80x44x30cm",LHS30W,"29,500 (Ft)","23,600 (Ft)",15,VASAGLE,1 év,80x44x30cm,"Forgácslap, Polimer hab, Egyéb textil",2,https://www.deco24.hu/vasagle-cipotarolo-pad-parnazott-ulofelulettel-feher-80x44x30cm
"Szövet cipőtároló szekrény, fekete 88x28x160cm",RXJ36H01,"15,300 (Ft)","12,200 (Ft)",3,SONGMICS,1 év,88x28x160cm,"Acél, Nem szőtt szövet, Műanyag",7,https://www.deco24.hu/songmics-szovet-cipotarolo-szekreny-fekete-88x28x160cm
"Ruhaáállvány, kabátoknak, ruháknak, cipőknek, fehér 92x41x173cm",HSR07WV1,"19,200 (Ft)","15,400 (Ft)",5,SONGMICS,1 év,92x41x173cm,Acél,1,https://www.deco24.hu/songmics-ruhaaallvany-kabatoknak-ruhaknak-cipoknek-feher-92x41x173cm
"Laptop asztal, rusztikus barna 71x35cm",LLD110B01,"14,700 (Ft)","11,800 (Ft)",3,SONGMICS,1 év,71x35x23cm,"Bambusz, MDF",1,https://www.deco24.hu/songmics-laptop-asztal-rusztikus-barna-71x35cm
"Kerek lerakóasztal szövet kosárral, szürke 45×45×51cm",LET223G49,"18,400 (Ft)","14,700 (Ft)",4,VASAGLE,1 év,45×45×51cm,"Forgácslap, Acél, Poliészter",2,https://www.deco24.hu/vasagle-kerek-lerakoasztal-szovet-kosarral-szurke-45x45x51cm
"Konyhai állópolc tárolópolcokkal, 10 akasztóval fém hálós polccal, rusztikus barna",KKS17BX,"38,800 (Ft)","31,000 (Ft)",17,VASAGLE,1 év,80x40x170cm,"Forgácslap, Acél",1,https://www.deco24.hu/vasagle-konyhai-allopolc-tarolopolcokkal-10-akasztoval-fem-halos-polccal-rusztikus-barna-80x40x170cm
"Cipőtároló pad két tároló szinttel, rusztikus barna 80x30x44cm",LBS74X,"24,800 (Ft)","19,800 (Ft)",6,VASAGLE,1 év,80x30x44.5cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-cipotarolo-pad-ket-tarolo-szinttel-rusztikus-barna-80x30x44cm
"Könyvespolc, tárolópolc lépcsős, fehér 97x97x29cm",LBC63WT,"26,400 (Ft)","21,100 (Ft)",17,VASAGLE,1 év,97.5x97.5x29cm,Forgácslap,2,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-lepcsos-feher-97x97x29cm
"Sarok íróasztal polcokkal, rusztikus barna 138x138x76cm",LWD72X,"55,400 (Ft)","44,300 (Ft)",24,VASAGLE,1 év,138x138x76cm,"Forgácslap, Acél",9,https://www.deco24.hu/vasagle-sarok-iroasztal-polcokkal-rusztikus-barna-138x138x76cm
"Cipőtároló pad két tároló szinttel, rusztikus barna 100x30x45cm",LBS078B01,"28,200 (Ft)","22,600 (Ft)",10,VASAGLE,1 év,100x30x45cm,"Forgácslap, Acél",1,https://www.deco24.hu/vasagle-cipotarolo-pad-ket-tarolo-szinttel-rusztikus-barna-100x30x45cm
"Gurulós ruhaállvány, szürke 101-165x113-198x48cm",LLR401,"15,200 (Ft)","12,200 (Ft)",4,SONGMICS,1 év,101-165x113-198x48.5cm,,4,https://www.deco24.hu/songmics-gurulos-ruhaallvany-szurke-101-165x113-198x48cm
"Irodai forgószék szövet huzattal dönthető, fekete",OBN034B01,"42,700 (Ft)","34,200 (Ft)",11,SONGMICS,1 év,63x63x(110-120)cm,"Acél, Poliészter, Polimer hab, Műanyag",5,https://www.deco24.hu/songmics-irodai-forgoszek-szovet-huzattal-dontheto-fekete
"Szövet cipőtároló szekrény, szürke 58x28x160cm",RXJ10G01,"13,100 (Ft)","10,500 (Ft)",2,SONGMICS,1 év,58x28x160cm,"Acél, Nem szőtt szövet, Műanyag",5,https://www.deco24.hu/songmics-szovet-cipotarolo-szekreny-szurke-58x28x160cm
"Vállfa készlet gyerekruhákhoz 20db, fehér",CRW06W-20, (Ft), (Ft),2,SONGMICS,1 év,35x20x1.2 cm,Masszív fa,5,https://www.deco24.hu/songmics-vallfa-keszlet-gyerekruhakhoz-20db-feher
"Kerek dohányzóasztal, fehér 80x80x45cm",LCT071B13,"37,500 (Ft)","28,100 (Ft)",14,VASAGLE,,80x80x45cm,"Márvány, Edzett üveg, Acél",10,https://www.deco24.hu/vasagle-kerek-dohanyzoasztal-feher-80x80x45cm
"Bárszék 2 db magas szögletes konyhai étkező szék, rusztikus barna",LBC65X,"33,700 (Ft)","27,000 (Ft)",9,VASAGLE,1 év,40x30x65cm,"Forgácslap, Acél",3,https://www.deco24.hu/vasagle-barszek-2-db-magas-szogletes-konyhai-etkezo-szek-rusztikus-barna
"Cipőtároló polc 4 szintes, rusztikus barna 100x30x72cm",LBS14BX,"28,400 (Ft)","22,700 (Ft)",9,VASAGLE,1 év,100x30x72cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-cipotarolo-polc-4-szintes-rusztikus-barna-100x30x72cm
"Esernyőtartó négyzet alakú mintás, akasztókkal, fekete 15x15x49cm",LUC48B,"15,100 (Ft)","10,600 (Ft)",1,SONGMICS,1 év,15.5x15.5x49cm,"Acél, Polipropilén (PP)",34,https://www.deco24.hu/songmics-esernyotarto-negyzet-alaku-mintas-akasztokkal-fekete-15x15x49cm
"Tároló polc gyerekszobába, gyerek könyvespolc 62x29x70cm",GKR41WT,"30,700 (Ft)","23,000 (Ft)",14,SONGMICS,1 év,62.5x29.5x70.0cm,"Forgácslap, MDF",23,https://www.deco24.hu/songmics-tarolo-polc-gyerekszobaba-gyerek-konyvespolc-62x29x70cm
"Konyhai tálaló kocsi, gurulós tároló polc, fehér 40x22x86cm",KSC10WT,"12,900 (Ft)","9,790 (Ft)",2,SONGMICS,1 év,40x22x86cm,"Polipropilén (PP), Rozsdamentes acél",10,https://www.deco24.hu/songmics-konyhai-talalo-kocsi-gurulos-tarolo-polc-feher-40x22x86cm
"Gurulós ruhaállvány, ezüst 110-150x45x160cm",HSR11SV1,"22,800 (Ft)","18,200 (Ft)",7,SONGMICS,1 év,110-150x45x160cm,Acél,4,https://www.deco24.hu/songmics-gurulos-ruhaallvany-ezust-110-150x45x160cm
"Bambusz polc fürdőszobába, konyhába, 5 szintes 33x33x96cm",BCB55Y,"22,200 (Ft)","17,800 (Ft)",5,SONGMICS,1 év,33x33x96cm,Bambusz,5,https://www.deco24.hu/songmics-bambusz-polc-furdoszobaba-konyhaba-5-szintes-33x33x96cm
"Lerakóasztal két fém hálós polccal, rusztikus barna 40x40x55cm",LET23XV1,"14,900 (Ft)","11,900 (Ft)",4,VASAGLE,1 év,40x40x55cm,"Forgácslap, Acél",3,https://www.deco24.hu/vasagle-lerakoasztal-ket-fem-halos-polccal-rusztikus-barna-40x40x55cm
"Lebegő fali polc, rusztikus barna 40x20x3cm",LWS24BX,"9,290 (Ft)","7,090 (Ft)",2,VASAGLE,,40x20x3.8cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",10,https://www.deco24.hu/vasagle-lebego-fali-polc-rusztikus-barna-40x20x3cm
"Kerek lerakóasztal szövet kosárral, rózsaszín 45×45×51cm",LET223R61,"18,500 (Ft)","14,800 (Ft)",4,VASAGLE,1 év,45×45×51cm,"Forgácslap, Acél, Poliészter",2,https://www.deco24.hu/vasagle-kerek-lerakoasztal-szovet-kosarral-rozsaszin-45x45x51cm
"Előszoba fogas polccal, akasztókkal, cipőtartóval és ülőkével, rusztikus barna 70x32x175cm",HSR41BX,"30,100 (Ft)","24,100 (Ft)",8,VASAGLE,1 év,70x32.5x175cm,"Forgácslap, Acél",3,https://www.deco24.hu/vasagle-eloszoba-fogas-polccal-akasztokkal-cipotartoval-es-ulokevel-rusztikus-barna-70x32x175cm
