Ser,Keyword
1,Entain
2,Flutter
3,Lottomatica
4,Evolution
5,BetMGM
6,Draftkings
7,Fanduel
8,Ladbrokes
9,Coral
10,Sky Bet
11,Kindred
12,Francaise des Jeux
13,Betxity
14,Sisal
