Date Ingested,Make,Model,Aircraft Group/Segment,Production Status,Total Products,Year Range,TTAF Range,Active Fleet,For Sale,For Sale - Unverified,For Lease,Total For Sale/Lease,% For Sale/Lease,Absorption Rate (months),Resale_Retail (YTD),Resale_Retail (2023),Resale_Retail (2022),Retail_to_Retail (YTD),Retail_to_Retail (2023),Retail_to_Retail (2022),Dealer_to_Retail (YTD),Dealer_to_Retail (2023),Dealer_to_Retail (2022),Other_to_Retail (YTD),Other_to_Retail (2023),Other_to_Retail (2022),Net_Dealer_Inv (YTD),Net_Dealer_Inv (2023),Net_Dealer_Inv (2022),DOM - Sold (Average) (YTD),DOM - Sold (Average) (2023),DOM - Sold (Average) (2022),DOM - Sold (Median) (YTD),DOM - Sold (Median) (2023),DOM - Sold (Median) (2022),Make & Model URL
24/02/2024,Aero Commander, 690,Medium Turboprop,Out of Production,80,1972-1973,"3,000 - 14,565",21,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,https://premier.amstatcorp.com/market/6864d771-f272-4f45-8e10-e00dabfd1034
24/02/2024,Aero Commander, 690A,Medium Turboprop,Out of Production,245,1973-1976,"2,111 - 11,998",147,6,4,0,10,6.8,12.0,0,5,10,0,5,8,0,0,2,0,0,0,0,2,-1,,255,213,,255,213,https://premier.amstatcorp.com/market/e1c77504-e514-44cc-8a20-a37be664a539
24/02/2024,Aero Commander, 690B,Medium Turboprop,Out of Production,167,1976-1998,"2,150 - 13,263",113,4,2,0,6,5.31,18.02,0,4,1,0,4,1,0,0,0,0,0,0,0,1,0,,65,,,65,,https://premier.amstatcorp.com/market/b8648e23-5138-4186-a98c-9ea35d032cb1
