Title,price,saving,discountData,productLink,quantityPrice,category
DAR-VIDA Paprika 125G,3,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/cracker/dar-vida-paprika-125g/p/3460318,2.40/100g,Süsses & Snacks
Seeberger Trail-Mix,3.8,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/frucht-knabbermix/seeberger-trail-mix/p/4718669,2.53/100g,Süsses & Snacks
Wernli Choco Petit Beurre au Lait,3.7,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/guetzli-mit-schokolade/ueberzogen-mit-schokolade/wernli-choco-petit-beurre-au-lait/p/3003357,2.96/100g,Süsses & Snacks
Fairtrade Cashewnüsse,3.5,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/gesalzene-nuesse/cashews-macadamia/fairtrade-cashewnuesse/p/6378899,1.75/100g,Süsses & Snacks
Prix Garantie Fairtrade Petit Beurre Chocolat,1.25,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/guetzli-mit-schokolade/ueberzogen-mit-schokolade/prix-garantie-fairtrade-petit-beurre-chocolat/p/6671610,1.00/100g,Süsses & Snacks
Prix Garantie Prussiens,2.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/guetzli-ohne-schokolade/weitere-guetzli/prix-garantie-prussiens/p/7044264,0.82/100g,Süsses & Snacks
Zweifel Cractiv Chips Paprika,3.8,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/paprika-chili-chips/zweifel-cractiv-chips-paprika/p/3275205,2.38/100g,Süsses & Snacks
Mango getrocknet,4.4,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/doerrfruechte/mango-getrocknet/p/4933139,2.20/100g,Süsses & Snacks
Zweifel Vaya Protein Paprika,3.95,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/spezial-chips/zweifel-vaya-protein-paprika/p/6160698,4.94/100g,Süsses & Snacks
Prix Garantie Chips Nature glutenfrei,3.45,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/nature-chips/prix-garantie-chips-nature-glutenfrei/p/3810114,0.99/100g,Süsses & Snacks
Prix Garantie Pizza Cracker,1.35,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/cracker/prix-garantie-pizza-cracker/p/6856286,1.17/100g,Süsses & Snacks
Kinder Chocofresh,2.1,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/schokoladen-riegel-snacks/schokoladenriegel/kinder-chocofresh/p/6350972,2.05/100g,Süsses & Snacks
