Team,Category,Date,vs,Opp,Game Result,Team Pts,Opp Pts,Spread,eFG #,eFG %,Rim #,Rim %,Short Mid #,Short Mid %,Long Mid #,Long Mid %,All Mid #,All Mid %,Corner Three #,Corner Three %,Non Corner #,Non Corner %,All Three #,All Three %,Pts/Poss %,Pts/Poss #,ALL TRANSITION Pts+/Poss %,ALL TRANSITION Pts+/Poss #,ALL TRANSITION Freq #,ALL TRANSITION Freq %,ALL TRANSITION Pts/Poss %,ALL TRANSITION Pts/Poss #,OFF STEALS Pts+/Poss %,OFF STEALS Pts+/Poss #,OFF STEALS Freq #,OFF STEALS Freq %,OFF STEALS Pts/Poss %,OFF STEALS Pts/Poss #,OFF LIVE REBOUNDS Pts+/Poss %,OFF LIVE REBOUNDS Pts+/Poss #,OFF LIVE REBOUNDS Freq #,OFF LIVE REBOUNDS Freq %,OFF LIVE REBOUNDS Pts/Poss %,OFF LIVE REBOUNDS Pts/Poss #
ATL,Offense: Shooting Frequency,01/26/24,vs.,DAL,L,143,148,-2.0,78,60.3%,60,35.2%,68,25.0%,51,8.3%,65,33.3%,21,6.5%,38,25.0%,25,31.5%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/24/24,@,GSW,L,112,134,+6.5,24,50.6%,3,17.2%,97,37.4%,11,4.0%,90,41.4%,48,9.1%,84,32.3%,77,41.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/22/24,@,SAC,L,107,122,+8.5,10,46.2%,54,34.0%,43,20.4%,34,6.8%,34,27.2%,45,8.7%,73,30.1%,65,38.8%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/20/24,vs.,CLE,L,95,116,+2.0,9,46.1%,56,34.4%,68,25.0%,20,5.2%,50,30.2%,30,7.3%,61,28.1%,46,35.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/19/24,@,MIA,W,109,108,+7.0,56,55.9%,49,33.0%,75,26.4%,14,4.4%,52,30.8%,76,12.1%,34,24.2%,51,36.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/17/24,vs.,ORL,W,106,104,-4.5,61,56.6%,96,46.9%,38,19.8%,9,3.7%,17,23.5%,45,8.6%,16,21.0%,17,29.6%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/15/24,vs.,SAS,W,109,99,-8.5,20,50.0%,64,36.0%,47,21.0%,18,5.0%,28,26.0%,48,9.0%,66,29.0%,61,38.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/13/24,vs.,WAS,L,99,127,-8.0,1,40.3%,49,33.0%,56,22.3%,12,4.3%,31,26.6%,64,10.6%,70,29.8%,73,40.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/12/24,vs.,IND,L,108,126,-6.0,32,51.8%,78,39.1%,73,26.1%,22,5.4%,56,31.5%,83,13.0%,3,16.3%,16,29.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/10/24,vs.,PHI,W,139,132,-1.0,39,53.0%,96,46.9%,22,16.8%,47,8.0%,22,24.8%,71,11.5%,3,16.8%,12,28.3%,,,,,,,,,,,,,,,,,,,,
